, 295.051s, info, gc, 3125M->3125M(6360M), 
, 295.470s, info, gc, 3125M->3125M(6360M), 
, 1620.864s, info, gc, 4910M->4838M(9640M), 
, 1621.074s, info, gc, 4838M->4838M(9640M), 
, 2862.794s, info, gc, 5093M->4773M(9640M), 
, 2863.037s, info, gc, 4824M->4824M(9640M), 
