146.934, 10307M->5271M(12000M), 2020-11-16T16:07:53.877+0000, 4417.475s
172.917, 10296M->5352M(12000M), 2020-11-16T16:08:45.300+0000, 4468.898s
139.494, 10121M->5426M(12000M), 2020-11-16T16:09:36.547+0000, 4520.145s
121.641, 10380M->5510M(12000M), 2020-11-16T16:10:25.000+0000, 4568.598s
146.315, 10318M->5593M(12000M), 2020-11-16T16:11:17.087+0000, 4620.685s
123.674, 10316M->5659M(12000M), 2020-11-16T16:12:08.075+0000, 4671.673s
126.295, 10328M->5742M(12000M), 2020-11-16T16:12:52.920+0000, 4716.518s
129.287, 10391M->5818M(12000M), 2020-11-16T16:13:42.346+0000, 4765.944s
130.420, 10337M->5880M(12000M), 2020-11-16T16:14:24.631+0000, 4808.229s
107.019, 10361M->5963M(12000M), 2020-11-16T16:15:13.675+0000, 4857.273s
125.434, 10357M->6020M(12000M), 2020-11-16T16:15:56.709+0000, 4900.307s
137.286, 6197M->5525M(12000M), 2020-11-16T16:15:58.218+0000, 4901.816s
121.598, 6046M->5048M(12000M), 2020-11-16T16:16:04.141+0000, 4907.739s
130.010, 5599M->4617M(12000M), 2020-11-16T16:16:09.897+0000, 4913.495s
160.949, 5167M->4223M(12000M), 2020-11-16T16:16:15.571+0000, 4919.169s
142.962, 4765M->3850M(12000M), 2020-11-16T16:16:20.444+0000, 4924.042s
160.739, 4398M->3522M(12000M), 2020-11-16T16:16:24.752+0000, 4928.350s
104.787, 10319M->3674M(12000M), 2020-11-16T16:17:36.428+0000, 5000.026s
117.489, 10318M->3816M(12000M), 2020-11-16T16:18:43.899+0000, 5067.497s
133.856, 10308M->3944M(12000M), 2020-11-16T16:19:47.595+0000, 5131.193s
130.209, 8355M->4005M(12000M), 2020-11-16T16:20:29.161+0000, 5172.759s
150.382, 10312M->4123M(12000M), 2020-11-16T16:21:31.043+0000, 5234.641s
163.423, 8033M->4173M(12000M), 2020-11-16T16:22:11.095+0000, 5274.693s
209.866, 10340M->4273M(12000M), 2020-11-16T16:23:15.525+0000, 5339.123s
128.814, 8384M->4340M(12000M), 2020-11-16T16:23:53.330+0000, 5376.928s
121.686, 10342M->4430M(12000M), 2020-11-16T16:24:49.740+0000, 5433.338s
127.788, 9258M->4505M(12000M), 2020-11-16T16:25:31.126+0000, 5474.724s
