0.430s, info, gc, 55M->10M(1040M), 5.476, 
0.671s, info, gc, 74M->24M(1040M), 7.153, 
0.913s, info, gc, 128M->44M(1040M), 11.543, 
1.042s, info, gc, 108M->59M(1040M), 10.421, 
31.164s, info, gc, 91M->67M(1040M), 8.426, 
