27, 1
27, 42
27, 56
28, 36
28, 46
28, 60
28, 20
29, 19
29, 50
29, 4
29, 1
29, 20
29, 1
29, 14
30, 5
30, 5
30, 23
30, 15
30, 5
31, 11
31, 5
31, 68
31, 25
32, 28
32, 90
32, 60
32, 21
33, 22
33, 7
33, 10
33, 432
33, 5
33, 13
34, 20
34, 280
35, 8
35, 21
35, 20
35, 300
35, 5
35, 13
35, 150
36, 26
36, 1
36, 13
36, 19
36, 13
36, 11
36, 5
37, 5
37, 5
37, 35
37, 20
37, 5
37, 2
37, 5
41, 21
41, 2
44, 300
44, 13
44, 19
44, 20
45, 300
45, 33
46, 43
46, 90
46, 14
46, 11
46, 42
48, 39
48, 13
49, 42
49, 22
49, 15
50, 8
51, 45
51, 12
51, 34
51, 15
51, 46
51, 64
52, 40
52, 5
54, 5
55, 5
57, 162
59, 5
61, 12
61, 16
61, 13
61, 16
62, 28
63, 233
63, 5
64, 19
64, 8
64, 15
64, 5
64, 11
64, 13
65, 53
65, 27
65, 19
66, 29
66, 19
66, 36
67, 5
67, 108
67, 15
67, 24
68, 47
68, 28
68, 7
69, 5
69, 5
70, 1
71, 17
71, 17
71, 50
71, 25
71, 33
71, 36
71, 30
71, 10
71, 20
71, 16
71, 25
72, 1
72, 1
72, 173
72, 5
72, 56
72, 10
72, 9
72, 20
73, 10
73, 5
74, 162
74, 10
74, 19
74, 58
74, 63
74, 19
75, 11
75, 7
75, 5
75, 60
76, 5
76, 74
76, 20
76, 327
76, 64
77, 5
77, 14
77, 9
77, 49
77, 7
77, 18
77, 49
78, 60
78, 162
78, 52
79, 162
79, 50
80, 691
81, 8
81, 327
82, 39
82, 691
83, 50
83, 11
83, 11
83, 74
83, 104
84, 86
84, 74
84, 20
85, 20
85, 691
86, 65
88, 35
90, 327
90, 49
91, 13
92, 49
92, 49
93, 35
93, 8
93, 49
93, 64
94, 372
94, 64
94, 14
95, 14
95, 7
96, 372
96, 7
96, 691
97, 691
97, 6
97, 8
98, 372
98, 130
99, 6
99, 5
100, 20
100, 20
100, 14
100, 7
100, 275
100, 28
100, 372
101, 691
101, 35
101, 35
101, 23
101, 31
101, 105
102, 63
102, 10
102, 33
103, 35
107, 8
108, 21
108, 23
108, 24
108, 6
108, 8
108, 7
108, 20
108, 20
108, 11
109, 196
109, 170
111, 327
111, 327
111, 18
111, 18
112, 327
113, 372
124, 289
124, 85
125, 6
125, 243
134, 372
134, 372
138, 372
139, 104
140, 104
140, 86
143, 86
143, 52
143, 52
168, 372
169, 8
169, 8
181, 35
181, 35
189, 6
189, 6
193, 130
196, 130
215, 35
215, 35
225, 39
226, 35
227, 35
227, 31
228, 39
228, 65
229, 65
229, 31
233, 275
233, 28
233, 28
234, 275
235, 372
236, 372
239, 372
247, 63
248, 63
279, 372
340, 170
345, 105
347, 105
350, 64
351, 64
351, 7
351, 7
351, 24
352, 170
352, 11
352, 24
363, 11
398, 23
399, 23
409, 25
434, 372
436, 13
436, 23
436, 10
436, 144
436, 7
436, 38
437, 150
437, 52
437, 5
439, 33
439, 5
439, 7
439, 17
440, 198
440, 39
440, 6
440, 98
441, 15
441, 5
444, 56
444, 95
445, 203
445, 59
446, 90
446, 5
446, 18
446, 53
447, 5
448, 2
448, 81
448, 5
449, 19
449, 26
449, 8
450, 77
450, 55
450, 118
450, 64
451, 11
451, 5
451, 12
452, 12
452, 5
452, 42
454, 57
454, 27
454, 61
455, 8
456, 26
456, 101
456, 8
456, 40
457, 72
457, 2305
458, 13
458, 8
458, 5
459, 5
459, 93
460, 13
460, 7
461, 10
461, 64
461, 66
461, 10
462, 85
462, 52
463, 14
463, 109
463, 302
463, 74
463, 14
464, 5
464, 5
